Tsallis-q,EpRewMean,EpThisIter,explained_variance_tdlam_before,meankl,surrgain,EpisodesSoFar,TimestepsSoFar,optimgain,entropy,EpLenMean,entloss,TimeElapsed
1.0,955.2427198749999,5,0.979158928617835,0.007040509,0.012895091,2187,307200,0.012895091,7.8594904,361.65,0.0,283.90793347358704
1.0,979.6511794999999,5,0.9786846861243248,0.008755054,0.015741099,2192,309248,0.015741099,7.8562994,372.35,0.0,286.2366166114807
1.0,991.1444596500002,7,0.98542963527143,0.0101937065,0.017182091,2199,311296,0.017182091,7.8527756,370.575,0.0,288.6579830646515
1.0,997.5053912249999,5,0.9812448024749756,0.00622652,0.012817545,2204,313344,0.012817545,7.8471446,372.45,0.0,291.12032413482666
1.0,1031.2766572750002,5,0.987363918684423,0.007161105,0.012555771,2209,315392,0.012555771,7.8452168,383.375,0.0,293.3682780265808
1.0,1065.389057625,5,0.9866123972460628,0.0076387753,0.013757252,2214,317440,0.013757252,7.8485417,393.0,0.0,295.4434595108032
1.0,1050.5334716500001,5,0.9864535368978977,0.012193923,0.019698203,2219,319488,0.019698203,7.8484797,385.925,0.0,297.34966111183167
1.0,1047.8616548,6,0.9866900453343987,0.012392175,0.016582517,2225,321536,0.016582517,7.8437753,379.45,0.0,299.50469636917114
1.0,1039.7333181,6,0.9809783715754747,0.007753024,0.012304471,2231,323584,0.012304471,7.84253,374.925,0.0,301.53129506111145
1.0,1078.33050795,4,0.9831161592155695,0.0066835475,0.010930579,2235,325632,0.010930579,7.8455734,387.775,0.0,303.47997403144836
1.0,1078.554937975,7,0.9843165744096041,0.010758417,0.0137636075,2242,327680,0.0137636075,7.852297,385.2,0.0,305.49760341644287
1.0,1060.1866884750002,5,0.9880557237192988,0.0055139023,0.013096785,2247,329728,0.013096785,7.8545003,378.375,0.0,307.6792755126953
1.0,1038.777367625,5,0.9751625023782253,0.014715215,0.013325928,2252,331776,0.013325928,7.851806,373.2,0.0,309.7821788787842
1.0,1021.3914799,6,0.9861086895689368,0.012123544,0.02260951,2258,333824,0.02260951,7.8475356,366.375,0.0,311.6914007663727
1.0,1025.3716634749999,5,0.9809900745749474,0.010620995,0.0143703595,2263,335872,0.0143703595,7.8484874,368.325,0.0,314.08676290512085
1.0,1038.170170725,6,0.9825417846441269,0.010501956,0.015711095,2269,337920,0.015711095,7.8452396,372.05,0.0,316.5573019981384
1.0,988.1066854500001,6,0.9842337928712368,0.012328227,0.019184731,2275,339968,0.019184731,7.833343,353.15,0.0,318.52109718322754
1.0,995.12279565,7,0.9830806702375412,0.005840118,0.009145421,2282,342016,0.009145421,7.8203106,358.65,0.0,320.3701927661896
1.0,1032.5552614249998,3,0.9791727587580681,0.010842752,0.017165003,2285,344064,0.017165003,7.813231,370.15,0.0,322.2450065612793
1.0,1067.0901097,5,0.9845711598172784,0.0063435407,0.011945261,2290,346112,0.011945261,7.808869,383.0,0.0,323.98772740364075
1.0,1052.6687657500001,6,0.9854086199775338,0.01081734,0.016382605,2296,348160,0.016382605,7.8040533,374.5,0.0,325.72128891944885
1.0,1037.65490175,6,0.9818215444684029,0.00589938,0.013689473,2302,350208,0.013689473,7.793603,369.175,0.0,327.61983132362366
1.0,1037.6146990749999,6,0.9729133229702711,0.005896584,0.013520863,2308,352256,0.013520863,7.782935,368.2,0.0,329.3382623195648
1.0,1088.2287047999998,5,0.9842432104051113,0.01114854,0.0151854595,2313,354304,0.0151854595,7.781274,386.175,0.0,331.06784176826477
