,0
1008,ETTX
1009,ETV
1010,ETW
1011,ETWO
1012,ETX           
1013,ETY
1014,EUCR
1015,EUCRU
1016,EURN
1017,EVA
1018,EVAX
1019,EVBG
1020,EVBN
1021,EVC
1022,EVCM
1023,EVE
1024,EVER
1025,EVEX
1026,EVF
1027,EVFM
1028,EVG
1029,EVGN
1030,EVGO
1031,EVGOW
1032,EVGR
1033,EVH
1034,EVI
1035,EVK
1036,EVLO
1037,EVLV
1038,EVLVW
1039,EVM
1040,EVN
1041,EVO
1042,EVOJ
1043,EVOJU
1044,EVOJW
1045,EVOK
1046,EVOP
1047,EVR
1048,EVRG
1049,EVRI
1050,EVT
1051,EVTC
1052,EVTL
1053,EVV
1054,EW
1055,EWBC
1056,EWCZ
1057,EWTX
1058,EXAI
1059,EXAS
1060,EXC
1061,EXD
1062,EXEL
1063,EXFY
1064,EXG
1065,EXK
1066,EXLS
1067,EXN
1068,EXP
1069,EXPD
1070,EXPE
1071,EXPI
1072,EXPO
1073,EXPR
1074,EXR
1075,EXTN
1076,EXTR
1077,EYE
1078,EYEN
1079,EYES
1080,EYESW
1081,EYPT
1082,EZFL
1083,EZGO
1084,EZPW
1085,F
1086,F^B
1087,F^C
1088,FA
1089,FACA
1090,FACT
1091,FAF
1092,FAM
1093,FAMI
1094,FANG
1095,FANH
1096,FARM
1097,FARO
1098,FAST
1099,FAT
1100,FATBB
1101,FATBP
1102,FATE
1103,FATH
1104,FATP
1105,FATPW
1106,FAX
1107,FB
1108,FBC
1109,FBHS
1110,FBIO
1111,FBIOP
1112,FBIZ
1113,FBK
1114,FBMS
1115,FBNC
1116,FBP
1117,FBRT
1118,FBRT^E
1119,FBRX
1120,FC
1121,FCAP
1122,FCAX
1123,FCBC
1124,FCCO
1125,FCEL
1126,FCF
1127,FCFS
1128,FCN
1129,FCNCA
1130,FCNCO
1131,FCNCP
1132,FCO
1133,FCPT
1134,FCRD
1135,FCRX
1136,FCT
1137,FCUV
1138,FCX
1139,FDBC
1140,FDEU
1141,FDMT
1142,FDP
1143,FDS
1144,FDUS
1145,FDX
1146,FE
1147,FEAM
1148,FEDU
1149,FEI           
1150,FEIM
1151,FELE
1152,FEMY
1153,FEN
1154,FENC
1155,FENG
1156,FEO
1157,FERG
1158,FET
1159,FEXD
1160,FEXDR
1161,FF
1162,FFA
1163,FFBC
1164,FFBW
1165,FFC
1166,FFHL
1167,FFIC
1168,FFIE
1169,FFIEW
1170,FFIN
1171,FFIV
1172,FFNW
1173,FFWM
1174,FGB
1175,FGBI
1176,FGBIP
1177,FGEN
1178,FGF
1179,FGFPP
1180,FGI
1181,FGIWW
1182,FGMC
1183,FGMCU
1184,FGMCW
1185,FHB
1186,FHI
1187,FHLT
1188,FHLTW
1189,FHN
1190,FHN^B
1191,FHN^C
1192,FHN^D
1193,FHN^E
1194,FHN^F
1195,FHS
1196,FHTX
1197,FIACU
1198,FIACW
1199,FIBK
1200,FICO
1201,FICV
1202,FICVU
1203,FICVW
1204,FIF
1205,FIGS
1206,FINM
1207,FINMU
1208,FINMW
1209,FINS
1210,FINV
1211,FINW
1212,FIS
1213,FISI
1214,FISV
1215,FITB
1216,FITBI
1217,FITBO
1218,FITBP
1219,FIVE
1220,FIVN
1221,FIX
1222,FIXX
1223,FIZZ
1224,FKWL
1225,FL
1226,FLAC
1227,FLACU
1228,FLACW
1229,FLAG
1230,FLC
1231,FLEX
1232,FLGC
1233,FLGT
1234,FLIC
1235,FLL
1236,FLME
1237,FLMN
1238,FLMNW
1239,FLNC
1240,FLNG
1241,FLNT
1242,FLO
1243,FLR
1244,FLS
1245,FLT
1246,FLUX
1247,FLWS
1248,FLXS
1249,FLYA
1250,FLYW
1251,FMAO
1252,FMBH
1253,FMC
1254,FMIV
1255,FMIVU
1256,FMIVW
1257,FMN
1258,FMNB
1259,FMS
1260,FMTX
1261,FMX
1262,FMY
1263,FN
1264,FNA
1265,FNB
1266,FNB^E
1267,FNCB
1268,FNCH
1269,FND
1270,FNF
1271,FNGR
1272,FNHC
1273,FNKO
1274,FNLC
1275,FNV
1276,FNVT
1277,FNVTU
1278,FNVTW
1279,FNWB
1280,FNWD
1281,FOA
1282,FOCS
1283,FOF
1284,FOLD
1285,FONR
1286,FOR
1287,FORA
1288,FORD
1289,FORG
1290,FORM
1291,FORR
1292,FORTY
1293,FOSL
1294,FOSLL
1295,FOUN
1296,FOUNU
1297,FOUNW
1298,FOUR
1299,FOX
1300,FOXA
1301,FOXF
1302,FOXWW
1303,FPAC
1304,FPAY
1305,FPF
1306,FPH
1307,FPI
1308,FPL
1309,FR
1310,FRA
1311,FRAF
1312,FRBA
1313,FRBK
1314,FRBN
1315,FRBNU
1316,FRBNW
1317,FRC
1318,FRC^H
1319,FRC^I
1320,FRC^J
1321,FRC^K
1322,FRC^L
1323,FRC^M
1324,FRC^N
1325,FRD
1326,FREE
1327,FREEW
1328,FREQ
1329,FREY
1330,FRG
1331,FRGAP
1332,FRGE
1333,FRGI
1334,FRHC
1335,FRLA
1336,FRLAU
1337,FRLAW
1338,FRLN
1339,FRME
1340,FRMEP
1341,FRO
1342,FROG
1343,FRON
1344,FRONU
1345,FRONW
1346,FRPH
1347,FRPT
1348,FRSG
1349,FRSGU
1350,FRSGW
1351,FRSH
1352,FRST
1353,FRSX
1354,FRT
1355,FRT^C
1356,FRW
1357,FRWAU
1358,FRWAW
1359,FRXB
1360,FSBC
1361,FSBW
1362,FSD
1363,FSEA
1364,FSFG
1365,FSI
1366,FSK
1367,FSLR
1368,FSLY
1369,FSM
1370,FSNB
1371,FSP
1372,FSR
1373,FSRD
1374,FSRDW
1375,FSRX
1376,FSRXU
1377,FSRXW
1378,FSS
1379,FSSI
1380,FSSIU
1381,FSSIW
1382,FST
1383,FSTR
1384,FSTX
1385,FSV
1386,FT
1387,FTAA
1388,FTAAU
1389,FTAAW
1390,FTAI
1391,FTAIN
1392,FTAIO
1393,FTAIP
1394,FTCH
1395,FTCI
1396,FTCV
1397,FTCVU
1398,FTCVW
1399,FTDR
1400,FTEK
1401,FTEV
1402,FTF
1403,FTFT
1404,FTHM
1405,FTHY
1406,FTI
1407,FTII
1408,FTIIU
1409,FTIIW
1410,FTK
1411,FTNT
1412,FTPA
1413,FTPAU
1414,FTPAW
1415,FTRP
1416,FTS
1417,FTV
1418,FTVI
1419,FTVIW
1420,FUBO
1421,FUL
1422,FULC
1423,FULT
1424,FULTP
1425,FUN
1426,FUNC
1427,FUND
1428,FURY
1429,FUSB
1430,FUSN
1431,FUTU
1432,FUV
1433,FVAM
1434,FVCB
1435,FVIV
1436,FVRR
1437,FVT
1438,FWAC
1439,FWBI
1440,FWONA
1441,FWONK
1442,FWP
1443,FWRD
1444,FWRG
1445,FXCO
1446,FXCOR
1447,FXCOW
1448,FXLV
1449,FXNC
1450,FYBR
1451,G
1452,GAB
1453,GAB^G
1454,GAB^H
1455,GAB^K
1456,GABC
1457,GACQ
1458,GACQU
1459,GACQW
1460,GAIA
1461,GAIN
1462,GAINN
1463,GAINZ
1464,GALT
1465,GAM
1466,GAM^B
1467,GAMB
1468,GAMC
1469,GAMCU
1470,GAMCW
1471,GAME
1472,GAN
1473,GANX
1474,GAPA
1475,GAQ
1476,GASS
1477,GATEU
1478,GATEW
1479,GATO
1480,GATX
1481,GAU
1482,GB
1483,GBAB
1484,GBBKU
1485,GBCI
1486,GBDC
1487,GBIO
1488,GBL
1489,GBLI
1490,GBNH
1491,GBNY
1492,GBOX
1493,GBR
1494,GBRG
1495,GBRGR
1496,GBRGW
1497,GBS
1498,GBT
1499,GBX
1500,GCBC
1501,GCI
1502,GCMG
1503,GCMGW
1504,GCO
1505,GCP
1506,GCTK
1507,GCV
1508,GD
1509,GDDY
1510,GDEN
1511,GDL
1512,GDL^C
1513,GDNR
1514,GDNRW
1515,GDO
1516,GDOT
1517,GDRX
1518,GDS
1519,GDSTR
1520,GDSTU
1521,GDV
1522,GDV^H
1523,GDV^K
1524,GDYN
1525,GE
1526,GECC
1527,GECCM
1528,GECCN
1529,GECCO
1530,GEEX
1531,GEEXU
1532,GEEXW
1533,GEF
1534,GEG
1535,GEL
1536,GENC
1537,GENE
1538,GENI
1539,GENQ
1540,GEO
1541,GEOS
1542,GER
1543,GERN
1544,GES
1545,GET
1546,GEVO
1547,GF
1548,GFAI
1549,GFAIW
1550,GFF
1551,GFGDR
1552,GFGDU
1553,GFGDW
1554,GFI
1555,GFL
1556,GFLU
1557,GFOR
1558,GFS
1559,GFX
1560,GGAA
1561,GGAAU
1562,GGAAW
1563,GGAL
1564,GGB
1565,GGE
1566,GGG
1567,GGGV
1568,GGGVR
1569,GGGVU
1570,GGMC
1571,GGN
1572,GGN^B
1573,GGPI
1574,GGPIU
1575,GGPIW
1576,GGR
1577,GGROW
1578,GGT
1579,GGT^E
1580,GGT^G
1581,GGZ
1582,GH
1583,GHAC
1584,GHACU
1585,GHACW
1586,GHC
1587,GHG
1588,GHIX
1589,GHIXU
1590,GHIXW
1591,GHL
1592,GHLD
1593,GHM
1594,GHRS
1595,GHSI
1596,GHY
1597,GIA
1598,GIAC
1599,GIB
1600,GIC
1601,GIFI
1602,GIGM
1603,GIII
1604,GIIX
1605,GIIXU
1606,GIIXW
1607,GIL
1608,GILD
